,userid,foodid
21,21.0,"492.0, 147.0, 45.0, 505.0, 420.0, 109.0, 460.0, 615.0, 60.0, 77.0"
22,22.0,"608.0, 671.0, 516.0, 571.0, 147.0, 460.0, 336.0, 143.0, 77.0, 484.0"
23,23.0,"671.0, 72.0, 740.0, 77.0, 460.0, 336.0, 143.0, 282.0, 128.0, 420.0"
24,24.0,"434.0, 448.0, 509.0, 280.0, 932.0, 732.0, 337.0, 891.0, 270.0, 423.0"
25,25.0,"366.0, 215.0, 208.0, 423.0, 932.0, 460.0, 336.0, 143.0, 608.0, 493.0"
26,26.0,"932.0, 608.0, 880.0, 366.0, 875.0, 630.0, 336.0, 143.0, 147.0, 671.0"
27,27.0,"147.0, 671.0, 509.0, 1026.0, 932.0, 608.0, 938.0, 632.0, 128.0, 280.0"
28,28.0,"252.0, 366.0, 337.0, 486.0, 418.0, 492.0, 727.0, 999.0, 924.0, 541.0"
29,29.0,"423.0, 230.0, 336.0, 448.0, 130.0, 366.0, 608.0, 837.0, 252.0, 856.0"
30,30.0,"147.0, 232.0, 787.0, 450.0, 656.0, 492.0, 608.0, 45.0, 42.0, 352.0"
31,31.0,"423.0, 366.0, 932.0, 1000.0, 282.0, 670.0, 455.0, 314.0, 821.0, 336.0"
32,32.0,"280.0, 366.0, 608.0, 878.0, 505.0, 42.0, 460.0, 336.0, 143.0, 77.0"
33,33.0,"924.0, 366.0, 486.0, 277.0, 838.0, 677.0, 21.0, 47.0, 268.0, 788.0"
34,34.0,"781.0, 448.0, 280.0, 608.0, 42.0, 143.0, 336.0, 1000.0, 366.0, 423.0"
35,35.0,"448.0, 423.0, 143.0, 336.0, 280.0, 282.0, 21.0, 128.0, 420.0, 891.0"
36,36.0,"423.0, 112.0, 932.0, 282.0, 448.0, 366.0, 336.0, 143.0, 460.0, 77.0"
37,37.0,"590.0, 115.0, 505.0, 738.0, 336.0, 143.0, 460.0, 420.0, 818.0, 77.0"
38,38.0,"348.0, 470.0, 349.0, 409.0, 472.0, 269.0, 905.0, 626.0, 23.0, 644.0"
39,39.0,"231.0, 30.0, 207.0, 255.0, 993.0, 752.0, 173.0, 755.0, 719.0, 953.0"
40,40.0,"109.0, 469.0, 192.0, 907.0, 387.0, 513.0, 100.0, 865.0, 792.0, 674.0"
41,41.0,"266.0, 718.0, 356.0, 508.0, 1012.0, 109.0, 460.0, 505.0, 723.0, 143.0"
42,42.0,"958.0, 310.0, 110.0, 664.0, 413.0, 421.0, 777.0, 885.0, 921.0, 460.0"
43,43.0,"493.0, 211.0, 802.0, 17.0, 736.0, 505.0, 36.0, 431.0, 604.0, 460.0"
44,44.0,"385.0, 1000.0, 184.0, 420.0, 460.0, 336.0, 996.0, 143.0, 505.0, 530.0"
45,45.0,"81.0, 186.0, 460.0, 336.0, 143.0, 361.0, 826.0, 420.0, 484.0, 77.0"
46,46.0,"420.0, 376.0, 651.0, 762.0, 206.0, 460.0, 505.0, 809.0, 336.0, 143.0"
47,47.0,"0.0, 336.0, 143.0, 460.0, 420.0, 77.0, 505.0, 542.0, 484.0, 1011.0"
48,48.0,"879.0, 24.0, 455.0, 220.0, 703.0, 473.0, 484.0, 260.0, 366.0, 1007.0"
49,49.0,"16.0, 984.0, 581.0, 396.0, 976.0, 898.0, 375.0, 662.0, 696.0, 998.0"
50,50.0,"886.0, 896.0, 1033.0, 378.0, 891.0, 124.0, 607.0, 507.0, 162.0, 745.0"
51,51.0,"191.0, 695.0, 945.0, 122.0, 377.0, 428.0, 525.0, 372.0, 146.0, 272.0"
52,52.0,"524.0, 743.0, 80.0, 603.0, 425.0, 51.0, 922.0, 786.0, 840.0, 1032.0"
53,53.0,"143.0, 336.0, 1053.0, 428.0, 749.0, 20.0, 460.0, 883.0, 77.0, 505.0"
54,54.0,"42.0, 64.0, 261.0, 77.0, 831.0, 535.0, 883.0, 336.0, 505.0, 143.0"
55,55.0,"1054.0, 855.0, 768.0, 122.0, 301.0, 420.0, 460.0, 77.0, 336.0, 143.0"
56,56.0,"143.0, 336.0, 77.0, 460.0, 428.0, 212.0, 505.0, 282.0, 254.0, 420.0"
57,57.0,"83.0, 963.0, 175.0, 616.0, 158.0, 1000.0, 505.0, 460.0, 336.0, 143.0"
58,58.0,"282.0, 1037.0, 226.0, 423.0, 823.0, 694.0, 460.0, 505.0, 420.0, 336.0"
59,59.0,"937.0, 8.0, 688.0, 128.0, 1003.0, 460.0, 814.0, 143.0, 336.0, 271.0"
60,60.0,"331.0, 130.0, 890.0, 639.0, 109.0, 505.0, 460.0, 282.0, 387.0, 1034.0"
61,61.0,"727.0, 94.0, 891.0, 58.0, 552.0, 613.0, 423.0, 420.0, 460.0, 282.0"
62,62.0,"903.0, 614.0, 610.0, 411.0, 391.0, 980.0, 481.0, 505.0, 174.0, 420.0"
63,63.0,"542.0, 724.0, 233.0, 460.0, 351.0, 56.0, 887.0, 346.0, 717.0, 143.0"
64,64.0,"429.0, 704.0, 386.0, 780.0, 382.0, 539.0, 18.0, 710.0, 267.0, 309.0"
65,65.0,"200.0, 135.0, 476.0, 420.0, 282.0, 336.0, 143.0, 1000.0, 460.0, 484.0"
66,66.0,"60.0, 402.0, 502.0, 362.0, 716.0, 62.0, 947.0, 467.0, 137.0, 970.0"
67,67.0,"482.0, 494.0, 519.0, 336.0, 143.0, 64.0, 814.0, 460.0, 428.0, 420.0"
68,68.0,"926.0, 336.0, 143.0, 420.0, 282.0, 460.0, 77.0, 594.0, 484.0, 505.0"
69,69.0,"460.0, 420.0, 109.0, 841.0, 825.0, 143.0, 336.0, 282.0, 314.0, 1031.0"
70,70.0,"821.0, 314.0, 302.0, 369.0, 455.0, 244.0, 153.0, 712.0, 934.0, 15.0"
71,71.0,"762.0, 589.0, 540.0, 420.0, 460.0, 1000.0, 109.0, 143.0, 336.0, 505.0"
72,72.0,"460.0, 26.0, 871.0, 312.0, 793.0, 593.0, 595.0, 457.0, 250.0, 915.0"
73,73.0,"1000.0, 889.0, 700.0, 443.0, 952.0, 457.0, 650.0, 483.0, 807.0, 440.0"
74,74.0,"353.0, 709.0, 846.0, 573.0, 869.0, 29.0, 666.0, 420.0, 460.0, 958.0"
75,75.0,"553.0, 778.0, 566.0, 68.0, 32.0, 1044.0, 31.0, 69.0, 48.0, 597.0"
76,76.0,"460.0, 420.0, 336.0, 143.0, 109.0, 505.0, 484.0, 282.0, 116.0, 77.0"
77,77.0,"254.0, 343.0, 1004.0, 461.0, 692.0, 969.0, 287.0, 428.0, 729.0, 965.0"
78,78.0,"360.0, 825.0, 468.0, 163.0, 336.0, 143.0, 460.0, 420.0, 879.0, 136.0"
79,79.0,"973.0, 798.0, 350.0, 2.0, 521.0, 1019.0, 910.0, 480.0, 160.0, 941.0"
80,80.0,"218.0, 157.0, 568.0, 784.0, 22.0, 82.0, 574.0, 453.0, 139.0, 719.0"
81,81.0,"176.0, 125.0, 1031.0, 109.0, 735.0, 460.0, 505.0, 420.0, 303.0, 60.0"
82,82.0,"725.0, 460.0, 336.0, 143.0, 420.0, 505.0, 282.0, 901.0, 879.0, 77.0"
83,83.0,"426.0, 785.0, 988.0, 287.0, 997.0, 528.0, 359.0, 298.0, 835.0, 340.0"
84,84.0,"77.0, 138.0, 336.0, 143.0, 278.0, 748.0, 460.0, 867.0, 42.0, 505.0"
85,85.0,"912.0, 460.0, 336.0, 143.0, 1000.0, 77.0, 578.0, 420.0, 505.0, 574.0"
86,86.0,"17.0, 205.0, 265.0, 288.0, 103.0, 575.0, 257.0, 467.0, 460.0, 122.0"
87,87.0,"484.0, 606.0, 332.0, 750.0, 424.0, 336.0, 143.0, 460.0, 657.0, 77.0"
88,88.0,"237.0, 439.0, 1021.0, 337.0, 420.0, 618.0, 66.0, 1000.0, 336.0, 143.0"
89,89.0,"756.0, 328.0, 45.0, 167.0, 690.0, 1048.0, 1042.0, 404.0, 77.0, 676.0"
90,90.0,"968.0, 849.0, 956.0, 505.0, 1000.0, 336.0, 143.0, 420.0, 460.0, 109.0"
91,91.0,"594.0, 63.0, 774.0, 143.0, 336.0, 420.0, 460.0, 77.0, 282.0, 505.0"
92,92.0,"842.0, 527.0, 243.0, 505.0, 808.0, 107.0, 812.0, 393.0, 413.0, 515.0"
93,93.0,"711.0, 377.0, 641.0, 335.0, 256.0, 399.0, 534.0, 381.0, 612.0, 336.0"
94,94.0,"1036.0, 638.0, 533.0, 847.0, 642.0, 797.0, 313.0, 235.0, 986.0, 537.0"
95,2000.0,"460.0, 505.0, 420.0, 336.0, 143.0, 282.0, 109.0, 77.0, 1000.0, 879.0"
96,3002.0,"460.0, 336.0, 143.0, 420.0, 505.0, 77.0, 109.0, 282.0, 484.0, 879.0"
97,4000.0,"460.0, 336.0, 143.0, 420.0, 505.0, 77.0, 282.0, 109.0, 879.0, 484.0"
